County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
Johnson,Arkansas,2,9.16,0.787,0.022,0.027,0.143,0.012,0.009,20125,6.3
Lafayette,Arkansas,0,8.8,0.591,0.363,0.006,0.029,0.005,0.006,5452,10.4
Lawrence,Arkansas,1,7.21,0.948,0.012,0.003,0.018,0.006,0.013,12820,10
Lee,Arkansas,0,8.34,0.413,0.544,0.006,0.023,0.006,0.008,7346,8.4
Linclon,Arkansas,4,8.54,0.641,0.3,0.004,0.042,0.006,0.007,11133,6.2
LittleRiver,Arkansas,1,8.67,0.726,0.199,0.005,0.037,0.017,0.016,9584,7.3
Logan,Arkansas,1,9.32,0.906,0.015,0.023,0.03,0.012,0.014,17026,8.5
Lonoke,Arkansas,6,8.68,0.858,0.063,0.009,0.046,0.007,0.017,54648,12.3
Madison,Arkansas,1,7.88,0.893,0.009,0.008,0.059,0.017,0.014,12577,9.3
Marion,Arkansas,1,9,0.936,0.006,0.006,0.024,0.011,0.017,13606,10.9
Miller,Arkansas,0,8.72,0.683,0.254,0.005,0.036,0.009,0.013,33289,9.3
Mississippi,Arkansas,5,8.31,0.581,0.356,0.005,0.044,0.005,0.009,30494,13.7
Monroe,Arkansas,1,8.28,0.543,0.402,0.008,0.026,0.007,0.014,5447,11.1
Montgomery,Arkansas,2,8.62,0.904,0.008,0.013,0.045,0.014,0.016,7285,7.9
Nevada,Arkansas,2,8.73,0.623,0.309,0.005,0.047,0.004,0.012,6444,10.1
Newton,Arkansas,1,9.43,0.935,0.005,0.004,0.019,0.013,0.024,6303,8.2
Ouachita,Arkansas,0,8.59,0.547,0.401,0.005,0.026,0.005,0.016,18313,8.7
Perry,Arkansas,2,8.87,0.917,0.02,0.004,0.031,0.01,0.018,8038,10.3
Phillips,Arkansas,1,8.33,0.344,0.623,0.004,0.02,0.004,0.005,13383,7.4
Pike,Arkansas,3,8.68,0.87,0.035,0.008,0.066,0.012,0.009,8392,8.2
Poinsett,Arkansas,1,8.33,0.862,0.083,0.003,0.033,0.004,0.015,18214,12.2
Polk,Arkansas,4,8.6,0.878,0.006,0.01,0.066,0.021,0.019,15482,10.7
Pope,Arkansas,3,10,0.834,0.033,0.012,0.096,0.033,-0.008,49491,7.5
Prairie,Arkansas,3,8.39,0.849,0.114,0.001,0.02,0.004,0.012,6461,14.3
Pulaski,Arkansas,9,9.78,0.516,0.379,0.023,0.062,0.004,0.016,301671,11.3
Randolph,Arkansas,1,7.14,0.924,0.012,0.004,0.022,0.006,0.032,13693,12
Saline,Arkansas,1,4.96,0.834,0.084,0.013,0.051,0.006,0.012,93198,8.8
Scott,Arkansas,1,8.79,0.842,0.007,0.031,0.079,0.026,0.015,7923,11.4
Searcy,Arkansas,0,9.2,0.926,0.005,0.004,0.028,0.016,0.021,6332,9.6
Sebastian,Arkansas,1,8.8,0.667,0.07,0.047,0.148,0.024,0.044,97228,11
Sevier,Arkansas,2,8.62,0.56,0.042,0.006,0.343,0.036,0.013,12265,5.7
Sharp,Arkansas,1,6.92,0.928,0.01,0.006,0.026,0.011,0.019,13794,10.8
StFrancis,Arkansas,1,8.46,0.398,0.528,0.006,0.055,0.008,0.005,20043,11.3
Stone,Arkansas,1,5.35,0.945,0.004,0.005,0.019,0.009,0.018,10061,8.2
Union,Arkansas,0,8.8,0.607,0.33,0.007,0.042,0.005,0.009,29707,8.1
Vanburen,Arkansas,4,1.1,0.932,0.006,0.004,0.032,0.01,0.016,13275,11.4
Washington,Arkansas,4,8.4,0.704,0.038,0.026,0.171,0.016,0.045,179233,10.2
White,Arkansas,2,8.18,0.877,0.046,0.009,0.044,0.007,0.017,60570,13.8
Woodruff,Arkansas,3,8.16,0.692,0.262,0.003,0.022,0.006,0.015,5069,16
Yell,Arkansas,4,9.16,0.746,0.021,0.014,0.205,0.011,0.003,16200,7.6
Barbour,West Virginia,1,9,0.955,0.01,0.003,0.011,0.006,0.015,16441,12.5
Berkeley,West Virginia,1,8.5,0.836,0.079,0.011,0.048,0.003,0.023,119171,11
Boone,West Virginia,2,7.43,0.976,0.007,0.001,0.006,0.002,0.008,21457,9.8
Braxton,West Virginia,0,8.22,0.966,0.007,0.002,0.009,0.004,0.012,13957,13.2
Brooke,West Virginia,1,9.15,0.956,0.015,0.005,0.009,0.002,0.013,21939,11.2
Cabell,West Virginia,0,7.8,0.901,0.048,0.013,0.014,0.002,0.022,91945,12
Calhoun,West Virginia,0,8.1,0.969,0.004,0.002,0.011,0.004,0.01,7109,13.2
Clay,West Virginia,0,7.85,0.973,0,0.001,0.009,0.004,0.01,8508,6.5
Doddridge,West Virginia,0,8.3,0.949,0.02,0.003,0.007,0.004,0.015,8448,8.5
Fayette,West Virginia,0,7.73,0.923,0.04,0.003,0.012,0.002,0.016,42406,12.1
Gilmer,West Virginia,0,8.27,0.816,0.108,0.008,0.055,0.009,0.004,7823,7
Grant,West Virginia,1,7.8,0.962,0.012,0.002,0.014,0.002,0.008,11568,12.8
Greenbrier,West Virginia,1,8.11,0.925,0.027,0.006,0.021,0.004,0.017,34662,8.4
Hampshire,West Virginia,1,8.03,0.956,0.014,0.003,0.015,0.002,0.01,23175,7.8
Hancock,West Virginia,0,8.4,0.936,0.027,0.005,0.016,0.002,0.014,28810,6.3
Hardy,West Virginia,0,7.92,0.899,0.032,0.007,0.049,0.003,0.01,13776,9.4
Harrison,West Virginia,2,7.6,0.94,0.019,0.006,0.017,0.002,0.016,67256,14.2
Jackson,West Virginia,0,7.82,0.968,0.01,0.003,0.01,0.003,0.01,28576,8.5
Jefferson,West Virginia,1,8,0.832,0.064,0.016,0.063,0.004,0.021,57146,8.7
Kanawha,West Virginia,4,7.3,0.877,0.076,0.011,0.012,0.002,0.022,178124,9.2
Lewis,West Virginia,0,8.29,0.961,0.007,0.006,0.012,0.003,0.011,15907,10.8
Lincoln,West Virginia,0,7.55,0.975,0.004,0.002,0.007,0.001,0.011,20409,14
Logan,West Virginia,1,7.48,0.959,0.018,0.003,0.01,0.001,0.009,32019,14.2
McDowell,West Virginia,0,7.52,0.887,0.082,0.002,0.014,0.002,0.013,17624,11
Marion,West Virginia,0,7.8,0.929,0.033,0.006,0.014,0.003,0.015,56072,10.7
Marshall,West Virginia,0,9.3,0.966,0.008,0.004,0.01,0.003,0.009,30531,7.3
Mason,West Virginia,0,7.72,0.966,0.009,0.003,0.008,0.002,0.012,26516,16.7
Mercer,West Virginia,0,7.49,0.903,0.06,0.006,0.012,0.003,0.016,58758,11.5
