County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
Walsh,North Dakota,4,5.8,94.3,0.7,0.9,12,2.3,1.9,10641,16.3
Ward,North Dakota,9,4.6,87.4,4.8,1.8,6.4,2.6,3.4,67641,14.9
Wells,North Dakota,2,4.7,97.3,0.4,0.3,1.2,0.6,1.5,3834,9.6
Williams,North Dakota,7,2.3,85.8,5.1,0.9,9,4.3,3.9,37589,10.9
Arkansas,Arkansas,5,8.3,70,25.1,0.8,3.4,0.3,0.4,13695,8.9
Ashley,Arkansas,0,8.1,68.9,24.3,0.3,5.7,0.8,0,15464,9.1
Baxter,Arkansas,4,7.85,94.3,0.5,0.5,2.6,0.8,1.3,34235,10.8
Benton,Arkansas,6,6.1,72.6,2.1,4.2,17.1,1.9,2.1,201039,9.9
Boone,Arkansas,5,9.1,93.7,0.5,0.6,2.6,0.9,1.7,28887,11.3
Bradley,Arkansas,0,8.5,55.1,27.4,0.5,15.9,1.6,-0.5,8286,7.9
Carlhoun,Arkansas,0,8.59,60.1,13.4,5.9,18.5,1.3,0.8,4282,7
Carroll,Arkansas,1,7.6,78.4,0.8,2,15.2,1.4,2.2,22158,9.5
Chicot,Arkansas,0,8.3,38.5,54.6,0.7,5.9,0.5,-0.2,8111,9.1
Clark,Arkansas,4,8.7,68.3,24.6,0.7,4.8,0.6,1,17877,9.2
Clay,Arkansas,0,7.27,94.9,0.9,0.2,2.2,0.6,1.2,11619,10.1
Cleburne,Arkansas,2,5.75,94.5,0.5,0.5,2.5,0.7,1.3,20228,12.1
Cleveland,Arkansas,1,8.41,84.3,11.5,0.2,2.5,0.5,1,6264,5.7
Columbia,Arkansas,0,8.8,59.5,35.6,0.9,2.8,0.6,0.6,18666,9
Conway,Arkansas,1,12.1,81.4,11.4,0.4,4,0.9,1.9,16179,12.3
Craighead,Arkansas,5,7.81,74.9,16.8,1.3,5.3,0.5,1.2,81468,10.9
Crawford,Arkansas,4,8.55,83.6,1.7,1.5,8.1,2.6,2.5,47905,10.2
Critttenden,Arkansas,1,8.8,40.9,53.5,0.6,2.8,0.4,1.8,35266,14.5
Cross,Arkansas,6,8.29,72.3,23.2,0.8,2,0.4,1.3,12770,12.1
Dallas,Arkansas,2,7.6,53.2,10.5,0.3,3.9,0.7,31.4,5647,6.8
Desha,Arkansas,2,8.41,44.5,47.9,0.7,6.4,0.5,0,8562,8.2
Drew,Arkansas,0,8.38,66.1,28.1,0.7,3.8,0.5,0.8,14389,8
Faulkner,Arkansas,3,7.97,79.9,12.2,1.3,4.2,0.7,1.7,96026,13
Franklin,Arkansas,2,8.69,91.6,0.9,0.2,3.2,1.6,2.5,13736,9.4
Fulton,Arkansas,0,7.28,94.5,0.7,0.3,1.7,0.8,2,9748,13.9
Garland,Arkansas,9,8.65,81.7,8.8,0.9,5.9,0.8,1.9,79213,6
Grant,Arkansas,1,7.66,92.3,2.7,0.4,3,0.5,1.1,14107,9.3
Greene,Arkansas,1,7.39,92.6,1.8,0.4,3,0.6,1.6,34222,10.8
Hempstead,Arkansas,0,8.71,53.9,30.5,0.5,13.3,0.7,1.1,16132,9.3
HotSpring,Arkansas,10,9.1,82.3,11.3,0.4,3.7,0.6,1.7,26787,5.3
Howard,Arkansas,1,8.63,63.3,21.1,0.6,13.2,1.4,0.4,9869,6.8
Independence,Arkansas,1,6.8,88,2.5,0.9,6.6,0.8,1.2,28556,10.7
Izard,Arkansas,0,6.7,92.7,2.2,0.5,2.5,0.8,1.3,11146,8.8
Jackson,Arkansas,2,7.9,76.8,17.4,0.5,3,0.7,1.6,13430,10.8
Jefferson,Arkansas,2,8.92,38.3,57.4,0.9,2.2,0.4,0.8,53061,10.4
Johnson,Arkansas,2,9.16,78.7,2.2,2.7,14.3,1.2,0.9,20125,6.3
Lafayette,Arkansas,0,8.8,59.1,36.3,0.6,2.9,0.5,0.6,5452,10.4
Lawrence,Arkansas,1,7.21,94.8,1.2,0.3,1.8,0.6,1.3,12820,10
Lee,Arkansas,0,8.34,41.3,54.4,0.6,2.3,0.6,0.8,7346,8.4
Linclon,Arkansas,4,8.54,64.1,30,0.4,4.2,0.6,0.7,11133,6.2
LittleRiver,Arkansas,1,8.67,72.6,19.9,0.5,3.7,1.7,1.6,9584,7.3
Logan,Arkansas,1,9.32,90.6,1.5,2.3,3,1.2,1.4,17026,8.5
Lonoke,Arkansas,6,8.68,85.8,6.3,0.9,4.6,0.7,1.7,54648,12.3
Madison,Arkansas,1,7.88,89.3,0.9,0.8,5.9,1.7,1.4,12577,9.3
Marion,Arkansas,1,9,93.6,0.6,0.6,2.4,1.1,1.7,13606,10.9
Miller,Arkansas,0,8.72,68.3,25.4,0.5,3.6,0.9,1.3,33289,9.3
Mississippi,Arkansas,5,8.31,58.1,35.6,0.5,4.4,0.5,0.9,30494,13.7
Monroe,Arkansas,1,8.28,54.3,40.2,0.8,2.6,0.7,1.4,5447,11.1
Montgomery,Arkansas,2,8.62,90.4,0.8,1.3,4.5,1.4,1.6,7285,7.9
Nevada,Arkansas,2,8.73,62.3,30.9,0.5,4.7,0.4,1.2,6444,10.1
Newton,Arkansas,1,9.43,93.5,0.5,0.4,1.9,1.3,2.4,6303,8.2
Ouachita,Arkansas,0,8.59,54.7,40.1,0.5,2.6,0.5,1.6,18313,8.7
Perry,Arkansas,2,8.87,91.7,2,0.4,3.1,1,1.8,8038,10.3
Phillips,Arkansas,1,8.33,34.4,62.3,0.4,2,0.4,0.5,13383,7.4
Pike,Arkansas,3,8.68,87,3.5,0.8,6.6,1.2,0.9,8392,8.2
Poinsett,Arkansas,1,8.33,86.2,8.3,0.3,3.3,0.4,1.5,18214,12.2
Polk,Arkansas,4,8.6,87.8,0.6,1,6.6,2.1,1.9,15482,10.7
Pope,Arkansas,3,10,83.4,3.3,1.2,9.6,3.3,-0.8,49491,7.5
Prairie,Arkansas,3,8.39,84.9,11.4,0.1,2,0.4,1.2,6461,14.3
Pulaski,Arkansas,9,9.78,51.6,37.9,2.3,6.2,0.4,1.6,301671,11.3
Randolph,Arkansas,1,7.14,92.4,1.2,0.4,2.2,0.6,3.2,13693,12
Saline,Arkansas,1,4.96,83.4,8.4,1.3,5.1,0.6,1.2,93198,8.8
Scott,Arkansas,1,8.79,84.2,0.7,3.1,7.9,2.6,1.5,7923,11.4
Searcy,Arkansas,0,9.2,92.6,0.5,0.4,2.8,1.6,2.1,6332,9.6
Sebastian,Arkansas,1,8.8,66.7,7,4.7,14.8,2.4,4.4,97228,11
Sevier,Arkansas,2,8.62,56,4.2,0.6,34.3,3.6,1.3,12265,5.7
Sharp,Arkansas,1,6.92,92.8,1,0.6,2.6,1.1,1.9,13794,10.8
StFrancis,Arkansas,1,8.46,39.8,52.8,0.6,5.5,0.8,0.5,20043,11.3
Stone,Arkansas,1,5.35,94.5,0.4,0.5,1.9,0.9,1.8,10061,8.2
Union,Arkansas,0,8.8,60.7,33,0.7,4.2,0.5,0.9,29707,8.1
Vanburen,Arkansas,4,1.1,93.2,0.6,0.4,3.2,1,1.6,13275,11.4
Washington,Arkansas,4,8.4,70.4,3.8,2.6,17.1,1.6,4.5,179233,10.2
White,Arkansas,2,8.18,87.7,4.6,0.9,4.4,0.7,1.7,60570,13.8
Woodruff,Arkansas,3,8.16,69.2,26.2,0.3,2.2,0.6,1.5,5069,16
Yell,Arkansas,4,9.16,74.6,2.1,1.4,20.5,1.1,0.3,16200,7.6
Barbour,West Virginia,1,9,95.5,1,0.3,1.1,0.6,1.5,16441,12.5
Berkeley,West Virginia,1,8.5,83.6,7.9,1.1,4.8,0.3,2.3,119171,11
Boone,West Virginia,2,7.43,97.6,0.7,0.1,0.6,0.2,0.8,21457,9.8
Braxton,West Virginia,0,8.22,96.6,0.7,0.2,0.9,0.4,1.2,13957,13.2
Brooke,West Virginia,1,9.15,95.6,1.5,0.5,0.9,0.2,1.3,21939,11.2
Cabell,West Virginia,0,7.8,90.1,4.8,1.3,1.4,0.2,2.2,91945,12
Calhoun,West Virginia,0,8.1,96.9,0.4,0.2,1.1,0.4,1,7109,13.2
Clay,West Virginia,0,7.85,97.3,0,0.1,0.9,0.4,1,8508,6.5
Doddridge,West Virginia,0,8.3,94.9,2,0.3,0.7,0.4,1.5,8448,8.5
Fayette,West Virginia,0,7.73,92.3,4,0.3,1.2,0.2,1.6,42406,12.1
Gilmer,West Virginia,0,8.27,81.6,10.8,0.8,5.5,0.9,0.4,7823,7
Grant,West Virginia,1,7.8,96.2,1.2,0.2,1.4,0.2,0.8,11568,12.8
Greenbrier,West Virginia,1,8.11,92.5,2.7,0.6,2.1,0.4,1.7,34662,8.4
Hampshire,West Virginia,1,8.03,95.6,1.4,0.3,1.5,0.2,1,23175,7.8
Hancock,West Virginia,0,8.4,93.6,2.7,0.5,1.6,0.2,1.4,28810,6.3
Hardy,West Virginia,0,7.92,89.9,3.2,0.7,4.9,0.3,1,13776,9.4
Harrison,West Virginia,2,7.6,94,1.9,0.6,1.7,0.2,1.6,67256,14.2
Jackson,West Virginia,0,7.82,96.8,1,0.3,1,0.3,1,28576,8.5
Jefferson,West Virginia,1,8,83.2,6.4,1.6,6.3,0.4,2.1,57146,8.7
Kanawha,West Virginia,4,7.3,87.7,7.6,1.1,1.2,0.2,2.2,178124,9.2
Lewis,West Virginia,0,8.29,96.1,0.7,0.6,1.2,0.3,1.1,15907,10.8
Lincoln,West Virginia,0,7.55,97.5,0.4,0.2,0.7,0.1,1.1,20409,14
Logan,West Virginia,1,7.48,95.9,1.8,0.3,1,0.1,0.9,32019,14.2
McDowell,West Virginia,0,7.52,88.7,8.2,0.2,1.4,0.2,1.3,17624,11
Marion,West Virginia,0,7.8,92.9,3.3,0.6,1.4,0.3,1.5,56072,10.7
Marshall,West Virginia,0,9.3,96.6,0.8,0.4,1,0.3,0.9,30531,7.3
Mason,West Virginia,0,7.72,96.6,0.9,0.3,0.8,0.2,1.2,26516,16.7
Mercer,West Virginia,0,7.49,90.3,6,0.6,1.2,0.3,1.6,58758,11.5
Mineral,West Virginia,0,7.92,93.7,3,0.6,1,0.2,1.5,26868,8.5
Mingo,West Virginia,0,7.57,95.6,2,0.3,0.9,0.1,1.1,23424,14.8
Monongalia,West Virginia,1,7.3,88.3,3.9,3.4,2.2,0.2,2,105612,8.4
Monroe,West Virginia,0,7.72,96.2,0.8,0.2,1,0.4,1.4,13275,8.2
Morgan,West Virginia,0,8.25,95.1,0.9,0.4,1.7,0.4,1.5,17884,11.2
Nicholas,West Virginia,1,8.16,96.7,0.6,0.4,0.8,0.4,1.1,24496,11.2
